subject_16, Epoch 7, Test Accuracy: 45.83%
subject_16, Epoch 8, Test Accuracy: 46.67%
subject_16, Epoch 9, Test Accuracy: 53.33%
subject_16, Epoch 10, Test Accuracy: 49.17%
subject_16, Epoch 1, Test Accuracy: 45.00%
subject_16, Epoch 2, Test Accuracy: 51.67%
subject_16, Epoch 3, Test Accuracy: 50.83%
subject_16, Epoch 4, Test Accuracy: 54.17%
subject_16, Epoch 5, Test Accuracy: 49.17%
subject_16, Epoch 6, Test Accuracy: 55.83%
subject_16, Epoch 7, Test Accuracy: 55.83%
subject_16, Epoch 8, Test Accuracy: 58.33%
subject_16, Epoch 9, Test Accuracy: 57.50%
subject_16, Epoch 10, Test Accuracy: 57.50%
subject_16, Epoch 11, Test Accuracy: 57.50%
subject_16, Epoch 12, Test Accuracy: 57.50%
subject_16, Epoch 13, Test Accuracy: 57.50%
subject_16, Epoch 14, Test Accuracy: 56.67%
subject_16, Epoch 15, Test Accuracy: 57.50%
subject_17, Epoch 1, Test Accuracy: 40.83%
subject_17, Epoch 2, Test Accuracy: 53.33%
subject_17, Epoch 3, Test Accuracy: 58.33%
subject_17, Epoch 4, Test Accuracy: 46.67%
subject_17, Epoch 5, Test Accuracy: 52.50%
subject_17, Epoch 6, Test Accuracy: 58.33%
subject_17, Epoch 7, Test Accuracy: 66.67%
subject_17, Epoch 8, Test Accuracy: 64.17%
subject_17, Epoch 9, Test Accuracy: 56.67%
subject_17, Epoch 10, Test Accuracy: 66.67%
subject_17, Epoch 1, Test Accuracy: 60.00%
subject_17, Epoch 2, Test Accuracy: 66.67%
subject_17, Epoch 3, Test Accuracy: 75.00%
subject_17, Epoch 4, Test Accuracy: 76.67%
subject_17, Epoch 5, Test Accuracy: 74.17%
subject_17, Epoch 6, Test Accuracy: 80.83%
subject_17, Epoch 7, Test Accuracy: 80.83%
subject_17, Epoch 8, Test Accuracy: 82.50%
subject_17, Epoch 9, Test Accuracy: 81.67%
subject_17, Epoch 10, Test Accuracy: 81.67%
subject_17, Epoch 11, Test Accuracy: 82.50%
subject_17, Epoch 12, Test Accuracy: 82.50%
subject_17, Epoch 13, Test Accuracy: 82.50%
subject_17, Epoch 14, Test Accuracy: 82.50%
subject_17, Epoch 15, Test Accuracy: 82.50%
subject_18, Epoch 1, Test Accuracy: 25.83%
subject_18, Epoch 2, Test Accuracy: 31.67%
subject_18, Epoch 3, Test Accuracy: 42.50%
subject_18, Epoch 4, Test Accuracy: 40.83%
subject_18, Epoch 5, Test Accuracy: 45.83%
subject_18, Epoch 6, Test Accuracy: 42.50%
subject_18, Epoch 7, Test Accuracy: 54.17%
subject_18, Epoch 8, Test Accuracy: 52.50%
subject_18, Epoch 9, Test Accuracy: 47.50%
subject_18, Epoch 10, Test Accuracy: 48.33%
subject_18, Epoch 1, Test Accuracy: 51.67%
subject_18, Epoch 2, Test Accuracy: 51.67%
subject_18, Epoch 3, Test Accuracy: 50.00%
subject_18, Epoch 4, Test Accuracy: 52.50%
subject_18, Epoch 5, Test Accuracy: 50.83%
subject_18, Epoch 6, Test Accuracy: 56.67%
subject_18, Epoch 7, Test Accuracy: 53.33%
subject_18, Epoch 8, Test Accuracy: 52.50%
subject_18, Epoch 9, Test Accuracy: 54.17%
subject_18, Epoch 10, Test Accuracy: 55.00%
subject_18, Epoch 11, Test Accuracy: 53.33%
subject_18, Epoch 12, Test Accuracy: 54.17%
subject_18, Epoch 13, Test Accuracy: 55.83%
subject_18, Epoch 14, Test Accuracy: 55.00%
subject_18, Epoch 15, Test Accuracy: 55.00%
subject_19, Epoch 1, Test Accuracy: 27.50%
subject_19, Epoch 2, Test Accuracy: 43.33%
subject_19, Epoch 3, Test Accuracy: 40.00%
subject_19, Epoch 4, Test Accuracy: 40.83%
subject_19, Epoch 5, Test Accuracy: 44.17%
subject_19, Epoch 6, Test Accuracy: 45.83%
subject_19, Epoch 7, Test Accuracy: 48.33%
subject_19, Epoch 8, Test Accuracy: 41.67%
subject_19, Epoch 9, Test Accuracy: 53.33%
subject_19, Epoch 10, Test Accuracy: 52.50%
subject_19, Epoch 1, Test Accuracy: 56.67%
subject_19, Epoch 2, Test Accuracy: 64.17%
subject_19, Epoch 3, Test Accuracy: 55.00%
subject_19, Epoch 4, Test Accuracy: 63.33%
subject_19, Epoch 5, Test Accuracy: 62.50%
subject_19, Epoch 6, Test Accuracy: 61.67%
subject_19, Epoch 7, Test Accuracy: 64.17%
subject_19, Epoch 8, Test Accuracy: 65.00%
subject_19, Epoch 9, Test Accuracy: 65.00%
subject_19, Epoch 10, Test Accuracy: 65.00%
subject_19, Epoch 11, Test Accuracy: 65.00%
subject_19, Epoch 12, Test Accuracy: 65.00%
subject_19, Epoch 13, Test Accuracy: 64.17%
subject_19, Epoch 14, Test Accuracy: 65.83%
subject_19, Epoch 15, Test Accuracy: 65.00%
subject_20, Epoch 1, Test Accuracy: 40.00%
subject_20, Epoch 2, Test Accuracy: 50.83%
subject_20, Epoch 3, Test Accuracy: 51.67%
subject_20, Epoch 4, Test Accuracy: 47.50%
subject_20, Epoch 5, Test Accuracy: 53.33%
subject_20, Epoch 6, Test Accuracy: 49.17%
subject_20, Epoch 7, Test Accuracy: 49.17%
subject_20, Epoch 8, Test Accuracy: 55.00%
subject_20, Epoch 9, Test Accuracy: 49.17%
subject_20, Epoch 10, Test Accuracy: 55.00%
subject_20, Epoch 1, Test Accuracy: 55.00%
subject_20, Epoch 2, Test Accuracy: 58.33%
subject_20, Epoch 3, Test Accuracy: 58.33%
subject_20, Epoch 4, Test Accuracy: 64.17%
subject_20, Epoch 5, Test Accuracy: 65.00%
subject_20, Epoch 6, Test Accuracy: 65.83%
subject_20, Epoch 7, Test Accuracy: 66.67%
subject_20, Epoch 8, Test Accuracy: 65.83%
subject_20, Epoch 9, Test Accuracy: 67.50%
subject_20, Epoch 10, Test Accuracy: 67.50%
subject_20, Epoch 11, Test Accuracy: 67.50%
